company_name,contact_name,email,phone,country,lanes,fmc_id,trade_name,license_number,city,state,zip,street,carrier_type,qi_title,renewal_date,fax
YOUNG SEA CARGO CORP.,DENISE TRAYNOR,,(610) 725-4000,UNITED STATES,,000142,,016226,BERWYN,PA,19312,1235 WESTLAKES DRIVE SUITE 305,NVOCC,CFO,2029-06-30,(610) 725-0570
AIR & SEA PAK CO.,JASON PARKO,,(734) 595-6865,UNITED STATES,,000179,CORRIGAN AIR & SEA CARGO SYSTEMS,016228,ROMULUS,MI,48174,6170 MIDDLEBELT ROAD,NVOCC,VICE PRESIDENT,2026-08-31,
"AMERICAN INTERNATIONAL FORWARDING, INC.",BRYAN PUTT,,(412) 788-0461,UNITED STATES,,000227,AIRES,016250,PITTSBURGH,PA,15276,6 PENN CENTER WEST SUITE 200,NVOCC,OWNER,2027-10-31,(412) 788-0245
ARROWPAK INC.,WALTER KENNEY,,(201) 770-9001,UNITED STATES,,000274,"ARROWPAC, INC.",000274,SECAUCUS,NJ,07094,925 PATERSON PLANK ROAD,NVOCC,PRESIDENT,2028-04-30,(201) 770-9009
"BESTWAY OCEAN EXPRESS TRANSPORT, INC.",PABLO GONZALEZ,,(973) 242-3315,UNITED STATES,,000374,,016231,NEWARK,NJ,07114,825 FRELINGHUYSEN AVENUE,NVOCC + FF,VICE PRESIDENT,2029-01-31,(973) 824-2909
BON TRADE INT'L CORP.,STEPHEN PERRET-GENTIL,,(305) 593-1177,UNITED STATES,,000382,,000382,DORAL,FL,33192,9643 NW 33 STREET,NVOCC + FF,PRESIDENT,2028-02-28,
"FREETRADE CONTAINER LINES, INC.",CLAUDIA EVANS,,(973) 252-4632,UNITED STATES,,000433,,016235,LANDING,NJ,07850,143 LAKESIDE BLVD.,NVOCC,PRESIDENT,2029-05-31,(973) 252-4638
"TARGET SHIPPING CO., INC.",FELICIA WEISS,,(908) 276-3400,UNITED STATES,,000506,,016236,CRANFORD,NJ,07016,123 NORTH UNION AVENUE SUITE 101,NVOCC + FF,PRESIDENT,2029-06-30,(908) 276-2555
CARGO CONSOLIDATION CORP.,MIKE SCHAEFER,,(516) 203-3100,UNITED STATES,,000684,,016238,LYNBROOK,NY,11563,777 SUNRISE HIGHWAY SUITE 204,NVOCC,DIRECTOR/PRESIDENT/CEO,2026-08-31,(516) 203-3101
"CARTWRIGHT INTERNATIONAL VAN LINES, INC.",MICHAEL TRYAN,,(816) 442-6296,UNITED STATES,,000726,,001962,GRANDVIEW,MO,64030,11901 CARTWRIGHT AVENUE,NVOCC + FF,CHIEF OPERATIONS OFFICER,2027-02-28,(816) 442-6360
"CONTINENTAL VAN LINES, INC.",JOHN BLAINE,,(206) 805-3332,UNITED STATES,,000822,CONTINENTAL INTERNATIONAL,000822,FIFE,WA,98424,2802 70TH AVE EAST,NVOCC,PRESIDENT,2029-02-28,(206) 529-3532
"PINTO TRADING CORP., INC.",ANTHONY PINTO,,(973) 344-7748,UNITED STATES,,001021,,016249,NEWARK,NJ,07105,45 NEW YORK AVENUE,NVOCC,VICE PRESIDENT,2027-09-30,(973) 344-3736
"PYRAMID SHIPPING, INC.",FRANK FOLISE,,(201) 348-6300,UNITED STATES,,001046,,016311,NORTH BERGEN,NJ,07047,2200 SECAUCUS ROAD,NVOCC,PRESIDENT,2029-01-31,(201) 348-6262
"SERRA SHIPPING, INC.",JEANETTE GIOIA,,2017164822,UNITED STATES,,001131,,016314,JERSEY CITY,NJ,07302,75 MONTGOMERY STREET SUITE 300,NVOCC,PRESIDENT,2029-04-30,(201) 860-9686
"STRAND FREIGHT SYSTEMS, INC.",ILAN SERVADIO,,(718) 625-4357,UNITED STATES,,001193,,016315,HILLSIDE,NJ,07205,5 WEST SHELTON TERRACE,NVOCC,CEO,2029-05-31,(718) 625-4361
"ECONOCARIBE CONSOLIDATORS, INC.",NIELS  NIELSEN,,(305) 693-5133,UNITED STATES,,001225,ECU WORLDWIDE (USA),016318,MIAMI,FL,33147,2401 N.W. 69TH STREET,NVOCC,CEO US/CANADA,2026-08-31,
"EUR-A-MED SHIPPING, LTD.",JOHN  JAMES,,(912) 963-2966,UNITED STATES,,001247,,016319,NORTH CHARLESTON,SC,29405,WORLD TRADE CENTER CHARLESTON 4500 LEEDS AVE SUITE 102E,NVOCC,VICE PRESIDENT,2026-09-30,(912) 233-2150
EXPRESS CONSOLIDATION SYSTEMS CORP.,OLIVIER FUCHS,,(201) 842-9009,UNITED STATES,,001268,ECS,016321,TOTOWA,NJ,07512,97 LACKAWANNA AVENUE SUITE 301,NVOCC + FF,PRESIDENT,2029-01-31,
